date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2005-01-03,-0.0090000000,-0.0132000000,-0.0138000000,-0.0321000000,-0.0050000000,-0.0109000000,-0.0050000000,-0.0147000000,-0.0023000000,-0.0110000000,-0.0055000000,-0.0080000000
2005-01-04,-0.0042000000,-0.0140000000,-0.0149000000,-0.0067000000,-0.0184000000,-0.0216000000,-0.0129000000,-0.0069000000,-0.0115000000,-0.0096000000,-0.0095000000,-0.0163000000
2005-01-05,-0.0051000000,-0.0155000000,-0.0093000000,-0.0056000000,-0.0063000000,-0.0062000000,-0.0012000000,-0.0098000000,-0.0024000000,-0.0043000000,-0.0026000000,-0.0063000000
2005-01-06,0.0020000000,0.0033000000,0.0019000000,0.0159000000,0.0099000000,-0.0043000000,0.0036000000,0.0038000000,0.0009000000,0.0071000000,0.0049000000,0.0060000000
2005-01-07,0.0034000000,-0.0059000000,-0.0034000000,-0.0073000000,0.0045000000,0.0007000000,-0.0013000000,-0.0035000000,-0.0016000000,0.0003000000,-0.0055000000,-0.0025000000
2005-01-10,0.0075000000,0.0033000000,0.0052000000,0.0073000000,0.0079000000,0.0024000000,0.0015000000,0.0071000000,0.0030000000,0.0083000000,0.0030000000,0.0035000000
2005-01-11,-0.0053000000,-0.0047000000,-0.0053000000,-0.0006000000,-0.0069000000,-0.0114000000,-0.0058000000,-0.0046000000,-0.0029000000,-0.0102000000,-0.0049000000,-0.0085000000
2005-01-12,0.0002000000,0.0014000000,0.0084000000,0.0166000000,0.0059000000,0.0065000000,0.0016000000,0.0031000000,0.0057000000,0.0055000000,-0.0017000000,0.0006000000
2005-01-13,-0.0044000000,-0.0097000000,-0.0048000000,0.0046000000,-0.0089000000,-0.0104000000,-0.0091000000,0.0052000000,-0.0062000000,-0.0174000000,-0.0082000000,-0.0061000000
2005-01-14,0.0062000000,0.0033000000,0.0108000000,0.0094000000,0.0089000000,0.0065000000,0.0045000000,0.0072000000,0.0085000000,0.0058000000,0.0041000000,0.0078000000
2005-01-18,0.0129000000,0.0045000000,0.0016000000,0.0106000000,0.0069000000,0.0090000000,0.0095000000,0.0081000000,0.0103000000,0.0092000000,0.0136000000,0.0085000000
2005-01-19,-0.0023000000,-0.0092000000,-0.0084000000,-0.0061000000,0.0022000000,-0.0198000000,-0.0125000000,-0.0027000000,-0.0093000000,-0.0064000000,-0.0099000000,-0.0079000000
2005-01-20,-0.0037000000,-0.0172000000,-0.0076000000,-0.0088000000,-0.0018000000,-0.0135000000,-0.0064000000,-0.0030000000,-0.0067000000,-0.0034000000,-0.0074000000,-0.0069000000
2005-01-21,-0.0042000000,-0.0123000000,-0.0068000000,-0.0002000000,-0.0096000000,-0.0068000000,0.0003000000,-0.0024000000,-0.0092000000,-0.0103000000,-0.0044000000,-0.0030000000
2005-01-24,-0.0053000000,-0.0080000000,-0.0067000000,0.0098000000,-0.0112000000,-0.0126000000,-0.0005000000,0.0063000000,-0.0073000000,-0.0105000000,-0.0001000000,-0.0026000000
2005-01-25,-0.0009000000,0.0065000000,0.0066000000,0.0034000000,0.0062000000,0.0052000000,-0.0023000000,-0.0067000000,0.0041000000,0.0091000000,0.0011000000,0.0065000000
2005-01-26,-0.0002000000,0.0102000000,0.0069000000,0.0097000000,0.0002000000,0.0114000000,0.0024000000,0.0144000000,0.0069000000,0.0081000000,0.0043000000,0.0018000000
2005-01-27,0.0054000000,0.0000000000,0.0058000000,0.0079000000,0.0048000000,0.0025000000,-0.0100000000,0.0052000000,0.0027000000,-0.0020000000,-0.0027000000,-0.0008000000
2005-01-28,0.0005000000,-0.0058000000,0.0029000000,-0.0079000000,-0.0036000000,-0.0035000000,-0.0014000000,0.0008000000,-0.0036000000,-0.0106000000,-0.0029000000,0.0017000000
2005-01-31,0.0093000000,0.0112000000,0.0111000000,0.0111000000,0.0033000000,0.0122000000,0.0023000000,0.0111000000,0.0107000000,0.0013000000,0.0136000000,0.0094000000
2005-02-01,0.0023000000,0.0031000000,0.0069000000,0.0227000000,0.0051000000,0.0021000000,0.0016000000,0.0068000000,0.0044000000,0.0075000000,0.0118000000,0.0055000000
2005-02-02,0.0050000000,0.0062000000,0.0055000000,0.0124000000,0.0108000000,0.0019000000,0.0053000000,0.0050000000,0.0058000000,0.0046000000,-0.0016000000,0.0019000000
2005-02-03,-0.0038000000,-0.0094000000,-0.0008000000,0.0071000000,-0.0028000000,-0.0098000000,0.0004000000,0.0022000000,0.0034000000,-0.0040000000,-0.0031000000,-0.0028000000
2005-02-04,0.0162000000,0.0074000000,0.0091000000,0.0073000000,0.0035000000,0.0170000000,0.0122000000,0.0115000000,0.0077000000,0.0109000000,0.0108000000,0.0101000000
2005-02-07,-0.0024000000,0.0050000000,-0.0026000000,-0.0044000000,0.0010000000,-0.0011000000,-0.0037000000,-0.0040000000,-0.0002000000,0.0038000000,-0.0014000000,-0.0003000000
2005-02-08,0.0027000000,-0.0032000000,0.0040000000,0.0088000000,-0.0043000000,0.0036000000,-0.0012000000,0.0032000000,-0.0033000000,0.0010000000,-0.0025000000,0.0027000000
2005-02-09,-0.0086000000,-0.0130000000,-0.0119000000,-0.0027000000,-0.0101000000,-0.0151000000,-0.0102000000,-0.0042000000,-0.0128000000,-0.0127000000,-0.0049000000,-0.0109000000
2005-02-10,0.0038000000,0.0030000000,0.0073000000,0.0218000000,0.0088000000,0.0004000000,-0.0024000000,0.0025000000,0.0011000000,0.0007000000,0.0037000000,0.0012000000
2005-02-11,0.0042000000,0.0052000000,0.0098000000,0.0049000000,0.0099000000,0.0111000000,0.0054000000,0.0007000000,0.0060000000,0.0128000000,0.0072000000,0.0062000000
2005-02-14,-0.0012000000,-0.0001000000,0.0000000000,0.0074000000,0.0051000000,0.0033000000,-0.0029000000,0.0090000000,-0.0004000000,-0.0010000000,0.0001000000,-0.0018000000
2005-02-15,-0.0001000000,0.0048000000,0.0023000000,0.0012000000,0.0085000000,0.0049000000,0.0074000000,-0.0024000000,0.0053000000,-0.0008000000,0.0022000000,0.0032000000
2005-02-16,0.0007000000,0.0002000000,0.0051000000,0.0274000000,0.0024000000,-0.0033000000,0.0007000000,0.0077000000,-0.0006000000,-0.0033000000,-0.0043000000,0.0003000000
2005-02-17,-0.0086000000,-0.0093000000,-0.0067000000,-0.0113000000,-0.0047000000,-0.0130000000,-0.0094000000,-0.0042000000,-0.0056000000,-0.0014000000,-0.0094000000,-0.0041000000
2005-02-18,-0.0008000000,0.0018000000,0.0011000000,0.0231000000,0.0036000000,-0.0026000000,-0.0032000000,-0.0106000000,-0.0001000000,0.0147000000,-0.0093000000,-0.0017000000
2005-02-22,-0.0156000000,-0.0151000000,-0.0168000000,-0.0094000000,-0.0182000000,-0.0112000000,-0.0105000000,-0.0241000000,-0.0192000000,-0.0117000000,-0.0158000000,-0.0143000000
2005-02-23,0.0033000000,0.0057000000,0.0070000000,0.0150000000,0.0163000000,-0.0016000000,0.0074000000,0.0058000000,0.0031000000,0.0044000000,0.0073000000,0.0038000000
2005-02-24,0.0072000000,0.0055000000,0.0133000000,0.0234000000,0.0087000000,0.0098000000,-0.0012000000,0.0088000000,0.0060000000,0.0074000000,0.0045000000,0.0098000000
2005-02-25,0.0059000000,0.0104000000,0.0133000000,0.0281000000,0.0103000000,0.0067000000,0.0013000000,0.0174000000,0.0073000000,0.0090000000,0.0095000000,0.0073000000
2005-02-28,-0.0024000000,-0.0100000000,-0.0059000000,-0.0027000000,-0.0125000000,-0.0025000000,-0.0012000000,-0.0069000000,-0.0010000000,-0.0172000000,-0.0069000000,-0.0063000000
2005-03-01,0.0087000000,0.0075000000,0.0027000000,-0.0204000000,0.0066000000,0.0092000000,0.0116000000,0.0029000000,0.0107000000,0.0085000000,0.0087000000,0.0048000000
2005-03-02,-0.0004000000,-0.0119000000,-0.0009000000,0.0123000000,-0.0032000000,-0.0027000000,0.0024000000,0.0009000000,-0.0004000000,0.0002000000,-0.0024000000,0.0026000000
2005-03-03,0.0010000000,0.0017000000,0.0027000000,0.0128000000,0.0009000000,-0.0056000000,-0.0028000000,0.0027000000,0.0059000000,-0.0033000000,-0.0019000000,-0.0012000000
2005-03-04,0.0066000000,-0.0012000000,0.0147000000,0.0129000000,0.0150000000,0.0047000000,0.0038000000,0.0153000000,0.0067000000,0.0037000000,0.0118000000,0.0126000000
2005-03-07,-0.0019000000,0.0041000000,-0.0007000000,-0.0068000000,-0.0029000000,0.0112000000,0.0043000000,0.0075000000,0.0008000000,0.0037000000,0.0016000000,0.0044000000
2005-03-08,-0.0059000000,-0.0090000000,-0.0039000000,-0.0006000000,-0.0035000000,-0.0089000000,-0.0086000000,-0.0051000000,-0.0049000000,-0.0061000000,-0.0025000000,-0.0053000000
2005-03-09,-0.0090000000,-0.0128000000,-0.0101000000,-0.0291000000,-0.0006000000,-0.0032000000,-0.0056000000,-0.0173000000,-0.0065000000,-0.0060000000,-0.0111000000,-0.0100000000
2005-03-10,0.0026000000,0.0014000000,0.0002000000,-0.0178000000,-0.0031000000,0.0021000000,-0.0014000000,0.0047000000,0.0005000000,0.0007000000,0.0045000000,-0.0002000000
2005-03-11,-0.0032000000,0.0026000000,-0.0003000000,0.0085000000,-0.0063000000,-0.0121000000,-0.0037000000,-0.0067000000,-0.0024000000,-0.0092000000,-0.0087000000,-0.0033000000
2005-03-14,0.0039000000,0.0057000000,0.0041000000,0.0055000000,0.0060000000,0.0028000000,0.0059000000,0.0167000000,0.0029000000,0.0140000000,0.0065000000,0.0064000000
2005-03-15,-0.0040000000,-0.0088000000,-0.0019000000,-0.0139000000,-0.0078000000,-0.0081000000,-0.0042000000,-0.0058000000,-0.0047000000,-0.0117000000,-0.0067000000,-0.0027000000
2005-03-16,-0.0076000000,-0.0315000000,-0.0105000000,0.0021000000,-0.0139000000,-0.0104000000,-0.0028000000,-0.0091000000,-0.0071000000,-0.0074000000,-0.0084000000,-0.0108000000
2005-03-17,0.0017000000,-0.0083000000,0.0034000000,0.0197000000,0.0046000000,-0.0008000000,0.0022000000,0.0064000000,0.0033000000,-0.0004000000,-0.0032000000,0.0029000000
2005-03-18,-0.0030000000,-0.0058000000,-0.0007000000,0.0140000000,0.0041000000,-0.0066000000,-0.0016000000,-0.0023000000,-0.0052000000,0.0004000000,-0.0044000000,0.0030000000
2005-03-21,-0.0058000000,0.0046000000,-0.0028000000,-0.0079000000,-0.0085000000,0.0022000000,-0.0022000000,-0.0020000000,-0.0048000000,-0.0013000000,-0.0081000000,-0.0019000000
2005-03-22,-0.0055000000,-0.0086000000,-0.0056000000,-0.0152000000,-0.0040000000,-0.0094000000,-0.0118000000,-0.0179000000,-0.0020000000,-0.0022000000,-0.0157000000,-0.0061000000
2005-03-23,0.0003000000,-0.0132000000,-0.0067000000,-0.0178000000,0.0039000000,0.0037000000,0.0032000000,-0.0073000000,-0.0016000000,0.0116000000,-0.0007000000,-0.0061000000
2005-03-24,-0.0013000000,0.0077000000,0.0035000000,-0.0060000000,-0.0017000000,0.0003000000,-0.0039000000,0.0104000000,0.0038000000,0.0011000000,-0.0033000000,0.0031000000
