date,SPX,FTSE,DAX,N225,HSI,CAC
2005-01-05,-0.0036278426,-0.0084588405,-0.0075188826,-0.0069658109,-0.0200442856,-0.0087852201
2005-01-06,0.0035058581,0.0038076997,0.0100275477,0.0047860232,-0.0038011438,0.0070820900
2005-01-07,-0.0014311706,0.0061771229,0.0035945540,-0.0051355897,-0.0100043237,0.0055698410
2005-01-11,-0.0026976718,-0.0072927838,-0.0135275086,0.0093368107,-0.0048332248,-0.0074704151
2005-01-12,0.0039814039,-0.0072841422,-0.0115523317,-0.0075043899,0.0041497174,-0.0085347319
2005-01-13,-0.0086301258,0.0034910333,0.0007888940,-0.0083093237,0.0005875799,0.0047090032
2005-01-14,0.0060045596,0.0042705666,0.0048003452,0.0070583176,-0.0057834214,0.0053441319
2005-01-18,0.0096747718,0.0006430671,0.0043356657,-0.0013227284,0.0081097618,0.0052975461
2005-01-19,-0.0094901050,-0.0011609067,-0.0012139516,-0.0015687223,0.0054696379,-0.0015509622
2005-01-20,-0.0077829961,-0.0036319865,-0.0059166963,-0.0105713915,-0.0098723366,-0.0068674075
2005-01-21,-0.0064148160,0.0005207466,-0.0015946196,-0.0041116847,-0.0046199208,0.0030579528
2005-01-24,-0.0035277857,0.0019153906,-0.0028027762,0.0045487127,-0.0069749396,-0.0014218242
2005-01-25,0.0040043258,0.0063792614,0.0076299136,-0.0011143176,0.0147209591,0.0086600649
2005-01-26,0.0048441146,0.0008052325,-0.0046835880,0.0088375410,0.0029166625,-0.0005718567
2005-01-27,0.0004089216,0.0012997059,0.0005434205,-0.0030994176,0.0003839248,0.0029846317
2005-01-28,-0.0027159877,-0.0042444674,-0.0034626844,-0.0018277865,0.0015518052,-0.0054093142
2005-01-31,0.0084602806,0.0040349282,0.0126231406,0.0059192873,0.0052476591,0.0111979130
2005-02-01,0.0068909009,0.0111082152,0.0059038783,-0.0002800815,-0.0104528421,0.0065130326
2005-02-02,0.0031779682,0.0020382373,0.0038177471,0.0019974050,-0.0016541119,0.0031834136
2005-02-03,-0.0027656341,-0.0016070116,-0.0034145398,-0.0015595530,-0.0029854178,-0.0057645859
2005-02-04,0.0110430498,0.0067640928,0.0134620488,-0.0025417798,0.0051674538,0.0073989597
2005-02-07,-0.0010889658,0.0077506435,0.0062384345,0.0122759723,0.0154455247,0.0060358343
2005-02-08,0.0004827066,0.0031527764,0.0011542911,-0.0008200677,0.0036701619,-0.0002837547
2005-02-14,0.0031938498,0.0092683024,0.0034336367,0.0123381381,0.0123938447,0.0078728708
2005-02-15,0.0032997665,0.0033916653,0.0035632599,0.0012284898,-0.0015267203,0.0045711217
2005-02-16,0.0001817759,-0.0011266693,-0.0075555522,-0.0038475580,0.0014047153,-0.0053170073
2005-02-17,-0.0079233654,0.0008310985,0.0002083324,-0.0016342428,-0.0034012311,-0.0008780249
2005-02-18,0.0006995343,-0.0000394881,-0.0023365465,0.0066824021,0.0085947415,0.0058719310
2005-02-22,-0.0145057234,-0.0048050882,-0.0083175827,-0.0053524454,0.0001880635,-0.0066244251
2005-02-23,0.0056073626,-0.0088219323,-0.0029028904,-0.0084094424,-0.0094090996,-0.0062813752
2005-02-24,0.0078937705,-0.0032875418,-0.0014777591,0.0026930625,0.0073771433,0.0001206833
2005-02-25,0.0093068192,0.0069788834,0.0103036964,0.0110222836,0.0068402178,0.0143048940
2005-02-28,-0.0064142414,-0.0076495578,0.0004254428,0.0070636339,0.0027025163,-0.0018366656
2005-03-01,0.0056580747,0.0064405756,0.0076152068,0.0034010754,-0.0094537452,0.0069081112
2005-03-02,-0.0002726994,-0.0015398851,0.0022378898,0.0028164851,-0.0149610886,0.0019087616
2005-03-03,0.0003223049,0.0044063453,-0.0045887053,0.0036186770,0.0030027076,-0.0003371813
2005-03-04,0.0096243812,0.0042873097,0.0114902578,0.0013992240,-0.0116315533,0.0074433328
2005-03-07,0.0026102703,-0.0018068045,0.0010330742,0.0044058222,0.0029983672,0.0040131005
2005-03-08,-0.0047987894,-0.0032424197,-0.0071339663,-0.0032242376,0.0079698056,-0.0055063576
2005-03-09,-0.0101851221,-0.0029535223,-0.0047537592,0.0067116073,0.0043049283,-0.0045748356
2005-03-10,0.0018558174,-0.0068053080,-0.0086662220,-0.0085052984,-0.0061292100,-0.0070032338
2005-03-11,-0.0075832491,0.0040305515,0.0052585847,0.0049709177,0.0025194939,0.0027165429
2005-03-14,0.0056246252,-0.0014251214,0.0015616525,-0.0061758076,0.0011460660,-0.0001555581
2005-03-15,-0.0075238073,0.0050653659,0.0046688200,-0.0024607208,-0.0064787937,0.0072099742
2005-03-16,-0.0080818649,-0.0125195183,-0.0179092140,0.0044065179,0.0011413343,-0.0143069661
2005-03-17,0.0018012531,-0.0031391769,0.0015803864,-0.0082269190,-0.0010503724,0.0031522532
2005-03-18,-0.0004704519,0.0002437389,0.0026090044,0.0088581861,0.0007511861,0.0046378041
2005-03-22,-0.0150801186,0.0028436213,-0.0014998762,-0.0031852231,-0.0037531821,-0.0008862729
2005-03-23,0.0006998902,-0.0054483024,-0.0008076826,-0.0086851775,-0.0125474362,-0.0036494596
2005-03-24,-0.0009466584,0.0024641776,0.0061150517,0.0005834858,-0.0004786040,0.0113828077
2005-03-29,-0.0051732584,-0.0007110208,0.0019085641,-0.0124425158,-0.0136220026,0.0008189284
2005-03-30,0.0137726102,-0.0037202286,-0.0010041883,-0.0029259444,0.0010341665,-0.0041747321
2005-03-31,-0.0006941437,-0.0012855904,0.0002875202,0.0089115842,0.0067876940,0.0007798834
2005-04-01,-0.0064966856,0.0040045967,0.0056935100,0.0046859132,-0.0018887697,0.0030237743
2005-04-04,0.0027281921,-0.0035205138,-0.0073486749,-0.0047843411,0.0016351623,-0.0068037904
2005-04-06,0.0067594728,0.0103538516,0.0087045941,0.0136807002,0.0036148987,0.0134910780
2005-04-07,0.0059709888,0.0059829604,0.0023611369,-0.0013671855,0.0029559855,0.0042317809
