date,FIN,EN,IT,HC,IND,CD,CS,MAT,UTIL,RE,TEL,SPX
2005-01-04,-0.0095328938,-0.0051456381,-0.0186338480,-0.0080431670,-0.0123374769,-0.0116942645,-0.0034656368,-0.0180089701,-0.0069014232,-0.0137252718,-0.0038328035,-0.0116713594
2005-01-05,-0.0016596444,-0.0043102609,-0.0034084446,-0.0016887830,-0.0069036419,-0.0037519067,-0.0052180204,-0.0138409584,-0.0157282592,-0.0374172495,-0.0124588610,-0.0036278426
2005-01-06,0.0049864907,0.0173156788,-0.0029307246,0.0074448872,0.0033104371,-0.0052141245,0.0048074974,0.0066668013,0.0052024471,0.0085708138,0.0011130088,0.0035058581
2005-01-07,-0.0052924964,-0.0079436474,0.0019592948,-0.0006721166,-0.0046189420,-0.0002915697,0.0047847136,0.0017430092,0.0000000000,-0.0000858324,0.0053744947,-0.0014311706
2005-01-10,0.0009981815,0.0074352860,0.0000000000,0.0087397934,0.0036461179,0.0037865906,0.0060611491,0.0045230062,0.0051752269,-0.0006007357,-0.0106915278,0.0034227727
2005-01-11,-0.0043199616,0.0014195166,-0.0097796325,-0.0069979036,-0.0046238961,-0.0063839088,-0.0043033502,-0.0103911637,-0.0029419734,-0.0122834661,-0.0005588895,-0.0060995671
2005-01-12,-0.0013342269,0.0175739116,0.0054323415,0.0067110848,0.0013271552,0.0058411707,0.0030252635,0.0066503581,0.0029506542,-0.0038265089,-0.0128632223,0.0039814039
2005-01-13,-0.0096887801,0.0066853205,-0.0098232855,-0.0149993252,-0.0096088615,-0.0072587012,-0.0064630109,-0.0038243756,0.0047820726,0.0048015816,-0.0058547069,-0.0086301258
2005-01-14,0.0033737354,0.0088543384,0.0029765309,0.0040605858,0.0066915640,0.0093591740,0.0056381998,0.0094230254,0.0084184932,0.0116422352,0.0000000000,0.0060045596
2005-01-18,0.0158028825,0.0098737176,0.0108801197,0.0080889759,0.0039875084,0.0084032155,0.0103488825,0.0038047991,0.0087111639,0.0109925654,0.0191870160,0.0096747718
2005-01-19,-0.0099304869,-0.0035304685,-0.0210373403,-0.0063520555,-0.0079442906,-0.0100576995,-0.0017073958,-0.0068897455,-0.0043180033,0.0016136324,-0.0039143588,-0.0094901050
2005-01-20,-0.0073550782,-0.0100846371,-0.0069963267,-0.0050474607,-0.0090085140,-0.0179965331,-0.0008548371,-0.0055498446,-0.0032528172,-0.0062758586,-0.0174025098,-0.0077829961
2005-01-21,-0.0050521135,0.0022027353,-0.0070458083,-0.0067635631,-0.0063977374,-0.0035474702,-0.0085583257,-0.0041861174,-0.0039881096,0.0023904170,-0.0022855177,-0.0064148160
2005-01-24,0.0003387783,0.0087912866,-0.0081094362,-0.0085120021,-0.0030493870,-0.0097892419,-0.0038841566,-0.0140102137,0.0087368967,-0.0097917329,-0.0011452037,-0.0035277857
2005-01-25,0.0006764116,0.0040845043,0.0015323378,0.0068681758,0.0095173411,0.0026960989,0.0038993021,0.0053289025,-0.0057741017,-0.0204642435,-0.0072615033,0.0040043258
